accession	include	enclosure_class	carbon_pct_earth	hardware	project	tissue	genotype	light	platform	dge_file	contrast	reason
OSD-522	yes	sealed	1	BRIC-LED	BRIC-LED-001	shoots	Col-0 Wild Type	light	RNA-seq	GLDS-522_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv	Log2fc_(Col-0 & Space Flight & Shoot)v(Col-0 & Ground Control & Shoot)	Primary sealed illuminated study.
OSD-38	yes	sealed	1	BRIC-PDFU	BRIC-20	seedlings (whole)	Col-0, Ler-0, WS	dark	RNA-seq	GLDS-38_rna_seq_differential_expression_GLbulkRNAseq.csv	Log2fc_(Space Flight)v(Ground Control)	Sealed dark study (internal control).
OSD-321	yes	sealed	1	BRIC-PDFU	BRIC-22	seedlings (whole)	Col-0	dark	RNA-seq	GLDS-321_rna_seq_differential_expression_GLbulkRNAseq.csv	Log2fc_(Space Flight)v(Ground Control)	Sealed dark study (internal control).
OSD-678-light	yes	tape	90	CARA square dish	CARA	leaves	Col-0 Wild Type	light	RNA-seq	GLDS-612_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv	Log2fc_(Col-0 & Wild Type & Space Flight & Light Treatment)v(Col-0 & Wild Type & Ground Control & Light Treatment)	Intermediate enclosure (tape).
OSD-678-dark	yes	tape	90	CARA square dish	CARA	leaves	Col-0 Wild Type	dark	RNA-seq	GLDS-612_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv	Log2fc_(Col-0 & Wild Type & Space Flight & Dark Treatment)v(Col-0 & Wild Type & Ground Control & Dark Treatment)	Intermediate enclosure dark control.
OSD-427	yes	vented	100	VEGGIE (VPS)	APEX-04	leaf	Wild Type	light	RNA-seq	GLDS-427_rna_seq_differential_expression.csv	Log2fc_(Wild Type & Space Flight & leaf)v(Wild Type & Ground control & leaf)	Vented illuminated arm (VEGGIE).
OSD-7-shoot	yes	vented	100	ABRS	TAGES	shoots	WS-0, Col-0	light	microarray	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv	Shoot_FLT_vs_GC	Primary ventilated illuminated study with active airflow, ethylene scrubbing, and CO2 monitoring.
OSD-7-root	organ_study	vented	100	ABRS	TAGES	roots	WS-0, Col-0	light	microarray	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv	Root_FLT_vs_GC	Organ-specific root response (evaluated in organ comparison panel).
OSD-7-hypocotyl	organ_study	vented	100	ABRS	TAGES	hypocotyls	WS-0, Col-0	light	microarray	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv	Hypocotyl_FLT_vs_GC	Organ-specific hypocotyl response.
OSD-7-whole_plant	organ_study	vented	100	ABRS	TAGES	whole plant	WS-0	light	microarray	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv	Whole_Plant_FLT_vs_GC	Organ-specific intact seedling response.
OSD-16	qualitative_audit	vented	100	ABRS	TAGES	leaves & roots	WS-0 (TAGES)	light	proteomics (iTRAQ)	Ferl et al. 2015 Table 1	546 DE proteins (256 leaf, 358 root)	Proteomics companion to OSD-7; qualitative audit in T02 and cross-hardware comparison.
