accession	enclosure_class	carbon_pct_earth	light	hardware	contrast	n_a	n_b	separation	p
OSD-522	sealed	1	light	BRIC-LED	photorespiration vs carbon fixation	76	66	-0.0199784999999999	0.9494488414673063
OSD-522	sealed	1	light	BRIC-LED	photorespiration_core vs rubisco	13	5	0.239329	0.0067693744164332
OSD-522	sealed	1	light	BRIC-LED	starvation vs photosynthesis	5	31	0.922558	5.3051523639758935e-06
OSD-38	sealed	1	dark	BRIC-PDFU	photorespiration vs carbon fixation	79	70	-0.1132995548919965	0.3868712650475002
OSD-38	sealed	1	dark	BRIC-PDFU	photorespiration_core vs rubisco	13	5	-0.046409930196574	0.5662931839402428
OSD-38	sealed	1	dark	BRIC-PDFU	starvation vs photosynthesis	5	31	-1.950897041934674	1.0610304727951789e-05
OSD-321	sealed	1	dark	BRIC-PDFU	photorespiration vs carbon fixation	80	70	-0.1468076475829353	0.0841244314814139
OSD-321	sealed	1	dark	BRIC-PDFU	photorespiration_core vs rubisco	13	5	-1.1301872380416542	0.207516339869281
OSD-321	sealed	1	dark	BRIC-PDFU	starvation vs photosynthesis	5	31	-3.2170542717940203	6.366182836771073e-05
OSD-678-light	tape	90	light	CARA square dish	photorespiration vs carbon fixation	78	70	0.1751885426831551	0.3576559089619445
OSD-678-light	tape	90	light	CARA square dish	photorespiration_core vs rubisco	13	5	1.74308428213327	0.207516339869281
OSD-678-light	tape	90	light	CARA square dish	starvation vs photosynthesis	5	31	2.577351848985346	2.1220609455903577e-05
OSD-678-dark	tape	90	dark	CARA square dish	photorespiration vs carbon fixation	78	70	0.1794907805066025	0.291762325511405
OSD-678-dark	tape	90	dark	CARA square dish	photorespiration_core vs rubisco	13	5	-0.605148397675782	0.3359010270774977
OSD-678-dark	tape	90	dark	CARA square dish	starvation vs photosynthesis	5	31	-0.3934435134774898	0.1224588320176555
OSD-427	vented	100	light	VEGGIE (VPS)	photorespiration vs carbon fixation	80	70	0.0131851344626844	0.799276938169023
OSD-427	vented	100	light	VEGGIE (VPS)	photorespiration_core vs rubisco	13	5	0.1168012645844689	0.2887488328664799
OSD-427	vented	100	light	VEGGIE (VPS)	starvation vs photosynthesis	5	31	0.4141689368524736	6.366182836771073e-05
OSD-7-shoot	vented	100	light	ABRS	photorespiration vs carbon fixation	73	64	0.05413	0.26939892703892665
OSD-7-shoot	vented	100	light	ABRS	photorespiration_core vs rubisco	13	1		
OSD-7-shoot	vented	100	light	ABRS	starvation vs photosynthesis	5	28	0.4145955	5.898810125728924e-05
